Country,Destination,Region,Group,Prefix,Valid Date,End Date,Change,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,61429,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,61437,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,61438,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,61439,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,614444,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,61447,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,61448,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,61455,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,61456,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,61457,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,61458,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,61459,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,61467,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,61473,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,61474,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,61475,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,61476,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,61477,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,61487,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,614880,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,614881,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,614882,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,614883,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,614884,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,614885,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,614886,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,614887,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,614889,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,61490,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,614910,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,614911,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,614912,01/01/2022 00:00,12/31/2099 23:59:59,,
Australia,Australia - Mobile - Telstra,,MDL Non Premium,614913,01/01/2022 00:00,12/31/2099 23:59:59,,
